"Story","Title","Result","Date","Stability","Duration (s)"
"credit calculator","successful credit calculator","SUCCESS","2018-12-21T16:04:52.172-05:00[America/Bogota]","0.0","47.01"
"credit calculator","successful quota value calculator","SUCCESS","2018-12-21T16:05:39.191-05:00[America/Bogota]","0.0","38.12"
"insurance calculator","successful insurance calculator","SUCCESS","2018-12-21T16:06:29.021-05:00[America/Bogota]","0.0","35.35"
"Publish Property","Sell property","SUCCESS","2018-12-21T16:07:04.846-05:00[America/Bogota]","0.0","42.76"
"Search Property","search property","ERROR","2018-12-21T16:07:47.942-05:00[America/Bogota]","0.0","57.05"
