"Story","Title","Result","Date","Stability","Duration (s)"
"Tools Property","Property request","SUCCESS","2019-03-11T16:55:29.621-05:00[America/Bogota]","0.0","42.26"
"Tools Property","Property record","SUCCESS","2019-03-11T16:56:11.898-05:00[America/Bogota]","0.0","52.05"
